x,y,token
-50.55018,38.984947,emma
13.54832,34.566933,by
-49.00179,40.113358,jane
1.5387272,26.571182,volume
-33.185577,-14.051026,i
19.5271,-67.67011,chapter
-29.27998,12.774674,handsome
-32.215397,3.1415184,clever
13.54094,33.82072,and
-2.86406,1.1262605,rich
13.6966,33.80202,with
11.912542,35.716274,a
-50.76686,32.54744,comfortable
-11.991814,36.341656,home
-31.836618,8.337907,happy
-54.85794,22.13467,disposition
15.795818,20.676777,seemed
12.837016,34.139458,to
-11.147098,6.079888,unite
7.222513,33.839287,some
13.603664,34.154957,of
13.604912,34.04237,the
-39.456184,-5.82062,best
-11.681391,-40.2764,blessings
-26.741573,12.482661,existence
11.638911,45.796543,had
-15.608463,32.9595,lived
-30.965792,39.646095,nearly
46.04185,-47.57718,twenty
7.2523212,30.781395,one
15.384273,-43.24595,years
13.587152,34.298565,in
-9.386776,1.6099203,world
-20.14825,55.747463,very
12.712332,41.061028,little
-24.63058,-15.277129,distress
13.243605,33.414864,or
-26.796556,-31.430445,vex
-15.302716,54.991306,her
-15.273695,54.956596,she
11.42536,45.731853,was
10.861473,-55.692516,youngest
31.74853,-15.055999,two
20.163029,-59.082535,daughters
-20.238188,10.789508,most
-33.759262,24.38804,affectionate
-18.255959,-20.14902,indulgent
1.4622341,-21.046442,father
-36.602325,13.829825,consequence
1.3044442,-21.204884,sister
9.8450165,45.32062,s
-44.154385,36.89692,marriage
-24.460085,31.543251,been
-12.33976,49.055035,mistress
10.382132,44.099804,his
25.796307,-35.74018,house
14.090991,33.866512,from
-13.275084,41.144173,early
-37.975616,36.620155,period
1.4575231,-21.172268,mother
17.909685,-55.478283,died
-20.199501,55.782654,too
30.190426,22.743708,long
-10.334603,32.44639,ago
9.899026,36.424988,for
12.532554,45.69754,have
1.2640873,10.134098,more
1.2524345,10.188649,than
12.0585985,35.637203,an
-15.45244,-23.724882,remembrance
5.49873,14.436073,place
-24.82878,28.916056,supplied
-32.71167,11.707534,excellent
3.4733238,-20.739138,woman
9.940065,37.585472,as
-37.031094,0.40595487,governess
8.97133,41.837444,who
12.945719,-24.637594,fallen
-18.935595,46.686726,short
-48.732983,19.426386,affection
45.470016,-48.251495,sixteen
-36.78154,0.68336076,miss_taylor
-50.182915,38.99099,mr_woodhouse
-20.080355,29.095299,family
1.1801635,9.999486,less
-37.3144,0.6821183,friend
-33.07803,2.9037998,fond
-15.109405,-8.086679,both
10.191423,36.58382,but
-49.09828,32.761158,particularly
27.895107,18.378777,between
11.077885,36.72385,it
-40.13895,26.052465,intimacy
-0.24370812,-20.27341,sisters
-7.21298,9.855579,even
8.699808,38.82724,before
-26.38946,37.04064,ceased
9.794901,5.8399796,hold
-15.969896,3.5791082,office
-18.419653,38.345394,mildness
-54.992886,22.326723,temper
-24.996754,23.578802,hardly
-40.36835,37.478672,allowed
-45.431854,-5.964744,impose
-54.090645,-8.250577,any
-43.548344,8.022755,restraint
23.400211,-4.6588345,shadow
-24.117111,-8.388996,authority
-7.511447,10.137982,being
7.101751,36.464806,now
29.05574,-10.752615,passed
35.961475,48.960873,away
11.581273,42.75424,they
-11.412229,-1.6794372,living
4.998982,-24.763702,together
-35.30585,8.68359,attached
-42.423096,0.26239932,doing
0.7474138,36.813892,just
10.727954,37.155685,what
-34.126347,-3.0170054,liked
-30.736166,14.036445,highly
-23.456577,-41.073257,judgment
-4.767278,30.576271,directed
-13.379909,13.722828,chiefly
-8.738254,-21.92871,own
-21.787827,11.506863,real
-41.02828,24.978466,evils
-33.710976,0.5673043,indeed
-45.111423,18.754446,situation
14.994261,30.666977,were
-8.68162,-12.572491,power
-35.388985,27.202785,having
1.5706177,45.08901,rather
-32.76491,1.0941781,much
-4.894628,39.29341,way
-41.2072,-6.458344,think
-32.023132,0.89377075,well
-15.365683,55.001953,herself
-2.1640353,13.913543,these
10.731575,36.190025,which
-26.006805,38.32608,threatened
-2.6371613,13.842342,many
-39.772087,12.142571,enjoyments
-42.39231,7.7432237,danger
-17.893877,48.929737,however
31.23339,23.359966,at
-26.413677,9.96141,present
10.014677,37.620857,so
10.600249,36.552505,that
-30.437107,-7.416293,did
10.280154,36.46427,not
-49.38993,10.428691,means
-14.029539,8.91475,rank
-12.135397,-19.544321,sorrow
39.42287,46.03052,came
9.147983,33.75841,--
-1.3093569,3.0946107,gentle
13.48153,33.686245,all
8.467261,16.172132,shape
-48.36074,14.757904,disagreeable
-43.693367,28.002867,consciousness
-38.507896,-0.9058112,.--
-36.23219,0.4894649,married
-43.983112,6.4167333,loss
-1.5561554,29.756756,first
14.484381,-38.022095,brought
-12.674887,-20.675835,grief
20.525415,31.40809,on
-37.274612,2.2520845,wedding
-13.017472,40.99955,day
11.401752,36.061935,this
-29.172163,-41.788998,beloved
46.43164,39.297462,sat
22.419348,7.89397,mournful
-18.109358,33.660152,thought
-41.338543,25.014994,continuance
31.93644,34.780373,over
4.4218903,-19.183064,bride
4.0140734,-35.397797,people
-4.250066,-26.884617,gone
11.673455,-11.182368,left
-38.998764,44.73334,dine
-53.93238,-8.014417,no
-28.610195,21.435438,prospect
29.003325,-70.66816,third
-25.034636,0.9880772,cheer
-13.155433,41.08861,evening
-20.911488,39.613865,composed
10.383988,43.431576,himself
5.655727,-12.652763,sleep
9.069996,31.085747,after
-23.87573,51.929237,dinner
-36.249542,35.796223,usual
6.6735916,39.431953,then
7.311284,32.460693,only
-28.686127,-20.355114,sit
-16.541988,-0.34053004,lost
-47.524384,25.534298,event
5.880806,16.881527,every
-52.939667,1.1448661,promise
-47.48056,19.046566,happiness
-49.93008,38.9021,mr_weston
5.6961565,42.562927,man
-44.304573,16.955086,character
-31.094643,5.667092,easy
-35.51651,15.616503,fortune
-32.09445,18.892466,suitable
-1.2593815,5.4340615,age
-19.493868,-17.198935,pleasant
-54.662483,21.850218,manners
7.741857,36.336014,there
-43.720448,29.005804,satisfaction
-31.529867,15.593145,considering
-52.681965,18.986406,self
-41.272808,7.9875546,denying
-31.95683,9.454369,generous
-47.934742,18.869368,friendship
-30.539581,0.61042476,always
-42.728188,35.33834,wished
-25.95735,-3.5700285,promoted
-35.637276,8.04434,match
57.93211,23.21656,black
-13.15532,41.0847,morning
-7.895349,-25.760994,work
-41.65378,-5.683631,want
-30.672869,-7.7913256,would
12.68825,45.38282,be
-19.395279,32.08561,felt
-15.664829,35.361843,hour
-26.748644,28.257166,recalled
-15.276793,-1.564232,past
-57.25385,16.87678,kindness
10.321507,37.86281,how
0.74412847,-41.770058,taught
-22.354029,-8.635528,played
46.72134,-47.32668,five
8.463691,34.97734,old
-34.912727,13.169236,devoted
-8.92621,-11.409366,powers
-48.058044,13.62382,attach
-15.078688,23.622255,amuse
-36.508778,16.046974,health
40.65127,19.948294,through
4.012644,14.866105,various
-1.2930596,5.5337615,childhood
9.316948,27.631239,large
-34.757607,16.603897,debt
-45.27941,29.084822,gratitude
-17.465055,23.292286,owing
0.12593573,40.701023,here
-36.27145,19.856506,intercourse
-1.552799,29.781982,last
46.800293,-49.07753,seven
-47.542747,18.174246,equal
-34.823524,19.635992,footing
-15.319121,-10.887731,perfect
-36.808872,23.244007,unreserve
-37.28562,34.45135,soon
10.234343,-23.973225,followed
-43.323563,41.27859,isabella
14.324606,32.67971,their
5.282973,15.96796,each
7.1262627,30.680935,other
-17.400068,-2.460405,yet
-50.924145,8.492882,dearer
-42.11864,31.179285,recollection
-35.68999,23.92874,companion
-22.211948,15.164848,such
-9.745538,26.798355,few
8.673226,-42.096123,possessed
-28.194826,14.558171,intelligent
-26.5366,30.29886,informed
-50.10372,31.767347,useful
-40.496178,1.8775002,knowing
-23.874554,-41.69081,ways
-49.64429,31.438168,interested
26.91157,19.813066,its
-40.425076,22.01109,concerns
-31.212475,15.943077,peculiarly
-49.071926,2.6835418,pleasure
-37.80996,13.25993,scheme
